[engine] Using C++ engine
=== Candidate 4 v5: AlphaZero with Curriculum ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 300 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps
Training: 500 iters, 100 train steps/iter
Curriculum: random → greedy → minimax → self_play, promote at 75%

Resumed from checkpoint at iteration 20
  total_games=321, best_wins=0, phase=random
Iter  55 [  random] | Games:   884 | R/B/D: 2/0/14 CM:2(12%)x2 | Len: 185 | PL: 2.2145 | VL: 0.0061 | Buf:  20000 | SP: 129s (7.5g/m) | Train: 2s | Elapsed: 5644s
Iter  56 [  random] | Games:   900 | R/B/D: 1/2/13 CM:3(19%)x2 | Len: 185 | PL: 2.2200 | VL: 0.0055 | Buf:  20000 | SP: 124s (7.8g/m) | Train: 2s | Elapsed: 5769s
Iter  57 [  random] | Games:   916 | R/B/D: 0/2/14 CM:2(12%)x3 | Len: 188 | PL: 2.1995 | VL: 0.0031 | Buf:  20000 | SP: 126s (7.6g/m) | Train: 1s | Elapsed: 5897s
Iter  58 [  random] | Games:   932 | R/B/D: 2/0/14 CM:2(12%)x3 | Len: 188 | PL: 2.2089 | VL: 0.0056 | Buf:  20000 | SP: 126s (7.6g/m) | Train: 1s | Elapsed: 6024s
Iter  59 [  random] | Games:   948 | R/B/D: 0/0/16 CM:0(0%)x3 | Len: 200 | PL: 2.2098 | VL: 0.0044 | Buf:  20000 | SP: 131s (7.4g/m) | Train: 2s | Elapsed: 6157s
Iter  60 [  random] | Games:   964 | R/B/D: 0/1/15 CM:1(6%)x3 | Len: 193 | PL: 2.2173 | VL: 0.0081 | Buf:  20000 | SP: 132s (7.3g/m) | Train: 2s | Elapsed: 6291s
  >> Eval vs random (10g): 0W / 2L / 8D  (Score: 40%)
Iter  61 [  random] | Games:   980 | R/B/D: 1/2/13 CM:3(19%)x3 | Len: 191 | PL: 2.2432 | VL: 0.0099 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 6788s
Iter  62 [  random] | Games:   996 | R/B/D: 1/1/14 CM:2(12%)x3 | Len: 193 | PL: 2.2275 | VL: 0.0084 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 6920s
Iter  63 [  random] | Games:  1012 | R/B/D: 1/1/14 CM:2(12%)x3 | Len: 194 | PL: 2.2373 | VL: 0.0087 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 7052s
