[engine] Using C++ engine
=== Candidate 4: Mini AlphaZero (Single-Process Batched) ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 200 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps, 16 games/iter
Training: 300 iters, 100 train steps/iter

Skipping human buffer seeding (SKIP_PRETRAIN=1)
Iter  59 | Games:   944 | R/B/D: 6/9/1(D=1) | Len: 200 | PL: 2.9854 | VL: 0.0119 | Buf:  20000 | SP: 143s (6.7g/m) | Train: 1s | Elapsed: 8684s
Iter  60 | Games:   960 | R/B/D: 10/6/0 | Len: 200 | PL: 2.9841 | VL: 0.0159 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 8829s
Iter  61 | Games:   976 | R/B/D: 9/7/0 | Len: 200 | PL: 2.9978 | VL: 0.0131 | Buf:  20000 | SP: 142s (6.8g/m) | Train: 1s | Elapsed: 8972s
Iter  62 | Games:   992 | R/B/D: 2/12/2(D=2) | Len: 200 | PL: 2.9984 | VL: 0.0132 | Buf:  20000 | SP: 152s (6.3g/m) | Train: 1s | Elapsed: 9125s
Iter  63 | Games:  1008 | R/B/D: 6/9/1(D=1) | Len: 200 | PL: 2.9981 | VL: 0.0122 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 9274s
Iter  64 | Games:  1024 | R/B/D: 5/9/2(D=2) | Len: 200 | PL: 2.9969 | VL: 0.0157 | Buf:  20000 | SP: 149s (6.4g/m) | Train: 1s | Elapsed: 9424s
Iter  65 | Games:  1040 | R/B/D: 8/7/1(D=1) | Len: 200 | PL: 2.9924 | VL: 0.0170 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 9571s
Iter  66 | Games:  1056 | R/B/D: 4/11/1(D=1) | Len: 200 | PL: 2.9877 | VL: 0.0129 | Buf:  20000 | SP: 144s (6.6g/m) | Train: 1s | Elapsed: 9717s
Iter  67 | Games:  1072 | R/B/D: 7/8/1(D=1) | Len: 200 | PL: 2.9820 | VL: 0.0126 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 9863s
Iter  68 | Games:  1088 | R/B/D: 5/10/1(D=1) | Len: 200 | PL: 2.9726 | VL: 0.0141 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 10010s
Iter  69 | Games:  1104 | R/B/D: 11/5/0 | Len: 200 | PL: 2.9656 | VL: 0.0145 | Buf:  20000 | SP: 141s (6.8g/m) | Train: 1s | Elapsed: 10152s
