[engine] Using C++ engine
=== Candidate 4: Mini AlphaZero (Single-Process Batched) ===
Device: cuda
Loaded pretrained weights from /home/start-up/AI-ZeroToOne/Season-5/ChessRL/training/candidate4/az_pretrained.pt
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 50 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps, 16 games/iter
Training: 300 iters, 20 train steps/iter

Loaded 20000 human positions from supervised_training_data_shard012.npz
Replay buffer seeded with 20000 human positions
Iter  63 | Games:  1008 | R/B/D: 7/9/0 | Len: 200 | PL: 2.7115 | VL: 0.1677 | Buf: 100000 | SP: 33s (29.4g/m) | Train: 0s | Elapsed: 2192s
Iter  64 | Games:  1024 | R/B/D: 3/11/2(D=2) | Len: 200 | PL: 2.6656 | VL: 0.1668 | Buf: 100000 | SP: 33s (29.3g/m) | Train: 0s | Elapsed: 2226s
Iter  65 | Games:  1040 | R/B/D: 13/3/0 | Len: 200 | PL: 2.6887 | VL: 0.1622 | Buf: 100000 | SP: 31s (30.8g/m) | Train: 0s | Elapsed: 2257s
Iter  66 | Games:  1056 | R/B/D: 11/4/1(D=1) | Len: 200 | PL: 2.6650 | VL: 0.1687 | Buf: 100000 | SP: 33s (29.1g/m) | Train: 0s | Elapsed: 2291s
Iter  67 | Games:  1072 | R/B/D: 12/4/0 | Len: 200 | PL: 2.6858 | VL: 0.1480 | Buf: 100000 | SP: 32s (29.7g/m) | Train: 0s | Elapsed: 2323s
Iter  68 | Games:  1088 | R/B/D: 9/7/0 | Len: 200 | PL: 2.6797 | VL: 0.1728 | Buf: 100000 | SP: 33s (28.8g/m) | Train: 0s | Elapsed: 2357s
Iter  69 | Games:  1104 | R/B/D: 10/5/1(D=1) | Len: 200 | PL: 2.6685 | VL: 0.1486 | Buf: 100000 | SP: 32s (30.0g/m) | Train: 0s | Elapsed: 2389s
Iter  70 | Games:  1120 | R/B/D: 9/2/5(D=5) | Len: 200 | PL: 2.6743 | VL: 0.1537 | Buf: 100000 | SP: 33s (29.1g/m) | Train: 0s | Elapsed: 2423s
Iter  71 | Games:  1136 | R/B/D: 10/4/2(D=2) | Len: 200 | PL: 2.6815 | VL: 0.1504 | Buf: 100000 | SP: 34s (28.3g/m) | Train: 0s | Elapsed: 2457s
Iter  72 | Games:  1152 | R/B/D: 7/6/3(D=3) | Len: 200 | PL: 2.6830 | VL: 0.1552 | Buf: 100000 | SP: 32s (30.1g/m) | Train: 0s | Elapsed: 2489s
Iter  73 | Games:  1168 | R/B/D: 7/7/2(D=2) | Len: 200 | PL: 2.6743 | VL: 0.1537 | Buf: 100000 | SP: 33s (28.8g/m) | Train: 0s | Elapsed: 2523s
Iter  74 | Games:  1184 | R/B/D: 8/8/0 | Len: 200 | PL: 2.6893 | VL: 0.1613 | Buf: 100000 | SP: 34s (28.5g/m) | Train: 0s | Elapsed: 2557s
Iter  75 | Games:  1200 | R/B/D: 12/3/1(D=1) | Len: 200 | PL: 2.6975 | VL: 0.1503 | Buf: 100000 | SP: 33s (29.1g/m) | Train: 0s | Elapsed: 2591s
  >> Eval vs Random (10g as Red): 0W / 10L / 0D  (Score: 0%)
Iter  76 | Games:  1216 | R/B/D: 10/4/2(D=2) | Len: 200 | PL: 2.7062 | VL: 0.1522 | Buf: 100000 | SP: 33s (28.8g/m) | Train: 0s | Elapsed: 2678s
Iter  77 | Games:  1232 | R/B/D: 6/9/1(D=1) | Len: 200 | PL: 2.7113 | VL: 0.1437 | Buf: 100000 | SP: 33s (28.7g/m) | Train: 0s | Elapsed: 2712s
